Grade Level,Student Number,Gender,Race,Hispanic / Latino,LEP Indicator Code,IEP,Eligible for Free or Reduced Lunch,Has Special Education Enrollment TX,Homeless,Foster Care,Has Active at Risk,Language Description,Status of Enrollment
08 - 08,273086,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,271234,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,274047,M - Male,White,True,,No,No,No,Not Applicable,Foster Care,Yes,ENGLISH,Active
08 - 08,286363,F - Female,White,True,F,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,273136,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,284066,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,271275,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,286703,F - Female,Pacific Isl,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,286121,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,281532,F - Female,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,285578,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
08 - 08,273349,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,272967,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,287690,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,275577,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,290904,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
08 - 08,273331,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
08 - 08,273464,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,291257,M - Male,Multi-Race,True,,Yes,No,Yes,Not Applicable,Not Applicable,No,ENGLISH,Active
08 - 08,273478,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
