Student Number,Gender,Race,Hispanic / Latino,Grade Level,LEP Indicator Code,Eligible for Free or Reduced Lunch,Has Active at Risk,Has Special Education Enrollment TX,IEP Continuer,Housing Status,Active,Language Description,Status of Enrollment
289181,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
289204,M - Male,White,TRUE,10,,No,Yes,Yes,No,Not Applicable,No,ENGLISH,Active
271347,F - Female,Amer Indian,TRUE,10,4,No,Yes,No,No,Not Applicable,No,SPANISH,Active
266380,F - Female,White,TRUE,11,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
269614,M - Male,White,TRUE,10,,No,No,No,No,Not Applicable,No,SPANISH,Active
269826,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
271137,F - Female,White,TRUE,12,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269232,F - Female,White,TRUE,10,4,No,No,No,No,Not Applicable,No,SPANISH,Active
280355,M - Male,White,TRUE,10,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
284068,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
267301,M - Male,Amer Indian,TRUE,11,,No,No,No,No,Not Applicable,No,ENGLISH,Active
269850,F - Female,White,TRUE,9,C,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
264040,M - Male,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
281679,F - Female,White,TRUE,10,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
280370,F - Female,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
287854,M - Male,White,TRUE,11,C,No,Yes,No,No,Not Applicable,No,SPANISH,Active
276508,M - Male,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
276511,F - Female,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
291071,M - Male,White,TRUE,9,,No,Yes,Yes,No,Foster Care,No,ENGLISH,Active
291070,F - Female,White,TRUE,10,,No,Yes,No,No,Foster Care,No,ENGLISH,Active
265044,F - Female,White,TRUE,9,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
288948,F - Female,White,TRUE,10,,No,No,Yes,No,Not Applicable,No,SPANISH,Active
262594,M - Male,White,TRUE,12,,No,Yes,No,No,Not Applicable,No,ENGLISH,Active
